City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,11.73,94,100,0.0,US,1691648746
1,yellowknife,62.456,-114.3525,18.29,55,100,3.6,CA,1691648746
2,adamstown,-25.066,-130.1015,19.84,51,92,8.92,PN,1691648746
3,albany,42.6001,-73.9662,18.23,89,47,0.45,US,1691648630
4,hammerfest,70.6634,23.6821,22.25,68,0,0.0,NO,1691648747
5,avarua,-21.2078,-159.775,24.03,73,75,8.75,CK,1691648748
6,margaret river,-33.95,115.0667,13.47,68,100,1.89,AU,1691648748
7,invercargill,-46.4,168.35,5.57,75,31,0.96,NZ,1691648748
8,iskateley,67.6803,53.1512,17.02,60,0,3.04,RU,1691648749
9,flying fish cove,-10.4217,105.6791,26.82,73,75,5.66,CX,1691648749
10,preobrazheniye,42.9019,133.9064,19.33,95,100,6.84,RU,1691648750
11,wailua homesteads,22.0669,-159.378,26.44,80,75,8.75,US,1691648750
12,edinburgh of the seven seas,-37.0676,-12.3116,10.2,64,78,8.91,SH,1691648750
13,ushuaia,-54.8,-68.3,4.81,81,0,2.57,AR,1691648751
14,ouarzazat,30.9189,-6.8934,28.16,21,40,3.09,MA,1691648751
15,brazzaville,-4.2658,15.2832,22.17,88,75,2.06,CG,1691648752
16,puerto natales,-51.7236,-72.4875,0.76,97,89,1.45,CL,1691648752
17,bethel,41.3712,-73.414,20.92,84,0,2.06,US,1691648752
18,longyearbyen,78.2186,15.6401,11.91,54,0,1.54,SJ,1691648753
19,zakamensk,50.3741,103.2863,15.69,90,100,2.19,RU,1691648753
20,port elizabeth,-33.918,25.5701,14.16,94,0,5.14,ZA,1691648754
21,aasiaat,68.7098,-52.8699,2.66,93,92,5.25,GL,1691648754
22,kingston,17.997,-76.7936,29.53,86,20,1.54,JM,1691648694
23,port mathurin,-19.6833,63.4167,22.5,74,5,4.45,MU,1691648755
24,lazaro cardenas,17.9583,-102.2,27.58,81,100,0.52,MX,1691648755
25,ryazanskaya,44.9553,39.5889,26.81,69,52,1.5,RU,1691648756
26,san patricio,28.017,-97.5169,29.36,81,1,6.8,US,1691648553
27,carnarvon,-24.8667,113.6333,24.37,52,1,4.86,AU,1691648757
28,glendive,47.1053,-104.7125,20.79,83,75,5.66,US,1691648757
29,colonia,50.9333,6.95,14.9,78,0,1.03,DE,1691648162
30,palora,-1.7,-77.9333,16.18,96,39,1.74,EC,1691648758
31,grytviken,-54.2811,-36.5092,-5.56,90,94,1.53,GS,1691648758
32,whangarei,-35.7317,174.3239,9.53,86,47,2.43,NZ,1691648752
33,langley,49.083,-122.5859,18.62,73,75,3.6,CA,1691648672
34,puerto ayora,-0.7393,-90.3518,24.19,94,82,1.34,EC,1691648759
35,klyuchi,52.2667,79.1667,30.2,28,93,4.71,RU,1691648760
36,las palmas,28.4204,-14.0131,24.44,65,0,6.17,ES,1691648760
37,hithadhoo,-0.6,73.0833,27.63,73,50,3.28,MV,1691648760
38,fereydun kenar,36.6864,52.5225,30.85,49,0,2.29,IR,1691648761
39,dudinka,69.4058,86.1778,19.79,52,100,10.9,RU,1691648761
